Stock,Total_Test_Days,HAR_QLIKE_Global,LSHAR_QLIKE_Global,ResidLS_QLIKE_Global,WeeklyLS_QLIKE_Global,LSHAR_Active_Days,LSHAR_Active_Pct,HAR_on_LSHAR_Days,LSHAR_on_Active_Days,LSHAR_Improvement_Pct,ResidLS_Active_Days,ResidLS_Active_Pct,HAR_on_ResidLS_Days,ResidLS_on_Active_Days,ResidLS_Improvement_Pct,WeeklyLS_Active_Days,WeeklyLS_Active_Pct,HAR_on_WeeklyLS_Days,WeeklyLS_on_Active_Days,WeeklyLS_Improvement_Pct
Cleaned_BHARTIARTL_5minute.csv,803,-7.639687961269938,-7.638250732673335,-7.639687961269938,-7.6396680191448185,38,4.732254047322541,-7.778076341948683,-7.747705432394147,-0.3904681340132894,0,0.0,,,0.0,9,1.1207970112079702,-7.329131125335631,-7.327351844616661,-0.024276830207323404
Cleaned_CGPOWER_5minute.csv,803,-6.538621804983924,-6.538540995661774,-6.538117711000054,-6.538621804983924,21,2.6151930261519305,-6.615707565102507,-6.61261757054595,-0.04670693990248137,12,1.4943960149439601,-6.697174482940253,-6.663442193852874,-0.5036794124642416,0,0.0,,,0.0
Cleaned_CHOLAFIN_5minute.csv,803,-6.8357463260501,-6.835300502297505,-6.835664498734772,-6.836343941926493,54,6.724782067247821,-6.904590695540894,-6.8979611312199,-0.09601676063543053,8,0.9962640099626401,-7.1438679550951765,-7.135654538319223,-0.11497156481028979,111,13.823163138231632,-6.6804774651167165,-6.684800758348637,0.06471533291588295
Cleaned_TRENT_5minute.csv,804,-6.793627574419318,-6.799804306395473,-6.793563162655288,-6.793627574419318,48,5.970149253731343,-6.657350086835232,-6.760810347435833,1.554075709570858,25,3.109452736318408,-7.464052581807996,-7.461981099476788,-0.02775278320327732,0,0.0,,,0.0
Cleaned_BEL_5minute.csv,803,-6.931615790370548,-6.931084798015469,-6.930662107366601,-6.930359385044201,15,1.86799501867995,-7.73126503920819,-7.70283924846624,-0.36767321515680157,6,0.7471980074719801,-6.691868807010544,-6.564234231648757,-1.9073083923593126,52,6.47571606475716,-7.142708527006752,-7.123306729371011,-0.27163081851068305
Cleaned_AMBUJACEM_5minute.csv,803,-6.919020091595262,-6.911186409468548,-6.916650625377103,-6.919002568293165,126,15.69115815691158,-6.75944628416801,-6.7095221036303005,-0.7385838786032165,35,4.35865504358655,-6.687250082860393,-6.632887757912333,-0.8129249583082284,1,0.12453300124533001,-5.88820807811938,-5.874136866535585,-0.23897272985450418
Cleaned_MAZDOCK_5minute.csv,803,-6.1562893533464305,-6.144911760905337,-6.1562893533464305,-6.155911150893914,264,32.87671232876712,-5.9901304085662765,-5.955523564891282,-0.5777310561637331,0,0.0,,,0.0,222,27.646326276463263,-6.2182178110742745,-6.216849808509537,-0.021999913902996358
Cleaned_PIDILITIND_5minute.csv,803,-7.573979353650044,-7.574679882204444,-7.573917776762001,-7.574470709593787,8,0.9962640099626401,-7.515778259356271,-7.586093813004146,0.9355724879235269,1,0.12453300124533001,-8.272249547723884,-8.22280330662428,-0.5977363329568449,14,1.7434620174346203,-7.320718568368252,-7.348901341427164,0.38497277003223257
Cleaned_TCS_5minute.csv,803,-7.803518954277253,-7.80183198846172,-7.801758575607335,-7.803405673537443,20,2.4906600249066,-7.606634664197841,-7.5389029867042465,-0.8904289542442146,11,1.36986301369863,-7.595251889875004,-7.466744246970944,-1.691947084406368,4,0.49813200498132004,-8.067698973432151,-8.044957864915412,-0.28187849585895136
Cleaned_BAJFINANCE_5minute.csv,803,-7.220599432148776,-7.219483441701647,-7.220599432148776,-7.220278711220381,22,2.73972602739726,-7.13559079970357,-7.09485714838336,-0.5708518392324551,0,0.0,,,0.0,50,6.226650062266501,-7.1936670219674115,-7.188516243857375,-0.07160156418565637
Cleaned_BANKBARODA_5minute.csv,803,-6.9965098587854175,-6.995835213310972,-6.996615229203784,-6.996987605485051,17,2.1170610211706102,-7.500234770360693,-7.468367692950105,-0.4248810655437088,2,0.24906600249066002,-7.968456353828656,-8.01076257680284,0.5309211859315364,53,6.60024906600249,-7.00185874039393,-7.009097053597822,0.10337702419122212
